delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,21,9,1,space,1.1525864999998703,None,293,1,[3.72757109999975],[3.7276222000000416],1,9,21,5,161.97472289999996,,161.96057950000022,161.97472289999996,162.97498620000033,162.97498620000033,162.97498620000033,164.1439848,space,1.1525864999998703,None,164.14532899999995,164.84970586666694,165.1897667000003,165.15308080000023,165.15390419999994,165.1897667000003,165.1897667000003,165.1897667000003,168.9190034000003,293,1,[3.72757109999975],[3.7276222000000416],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,400,unexp,22,10,1,space,1.1299911000000975,None,14,1,[1.9138379000000896],[1.9138534999997319],1,10,22,0,168.93329250000033,,168.91949760000034,168.93329250000033,169.93332230000033,169.93332230000033,169.93332230000033,171.0690767000001,space,1.1299911000000975,None,171.0704063000003,171.18329866666662,171.52129830000013,171.48348650000025,171.48437719999993,171.52129830000013,171.52129830000013,171.52129830000013,173.4360386000003,14,1,[1.9138379000000896],[1.9138534999997319],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,23,11,1,space,1.0276671999999962,None,28,1,[5.332253799999762],[5.332264099999975],1,11,23,11,173.44968300000028,,173.4363870000002,173.44968300000028,174.45017320000034,174.45017320000034,174.45017320000034,175.48595560000012,space,1.0276671999999962,None,175.48719740000024,176.20022596666675,176.53873620000013,176.50291349999998,176.5036594000003,176.53873620000013,176.53873620000013,176.53873620000013,181.87167960000033,28,1,[5.332253799999762],[5.332264099999975],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,400,unexp,24,0,2,space,1.1785260000001472,None,25,1,[2.0506780999999137],[2.050707599999896],2,0,24,0,181.88333980000016,,181.87195939999992,181.88333980000016,182.88387450000027,182.88387450000027,182.88387450000027,184.06957349999993,space,1.1785260000001472,None,184.07094000000006,184.1839195666669,184.5172176000001,184.48300900000004,184.48404160000018,184.5172176000001,184.5172176000001,184.5172176000001,186.56925070000034,25,1,[2.0506780999999137],[2.050707599999896],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,25,1,2,space,1.3297418000001926,None,600,1,[2.900140199999896],[2.900156100000004],2,1,25,11,186.58396859999993,,186.56976710000026,186.58396859999993,187.58407820000002,187.58407820000002,187.58407820000002,188.91932150000002,space,1.3297418000001926,None,188.92057030000024,189.63418756666695,189.96751140000015,189.93278790000022,189.93374500000027,189.96751140000015,189.96751140000015,189.96751140000015,192.8685516999999,600,1,[2.900140199999896],[2.900156100000004],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,26,2,2,space,1.8022280000000137,None,008,1,[5.617084200000136],[5.617119800000182],2,2,26,7,192.88396730000022,,192.86885680000023,192.88396730000022,193.88433600000008,193.88433600000008,193.88433600000008,195.7025179000002,space,1.8022280000000137,None,195.70355450000034,196.11772056666658,196.4514320000003,196.41288910000003,196.4136139000002,196.4514320000003,196.4514320000003,196.4514320000003,202.07010480000008,008,1,[5.617084200000136],[5.617119800000182],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,400,unexp,27,3,2,space,0.2878443000004154,None,485,1,[3.0701789999998255],[3.0701930999998694],2,3,27,1,202.0846921000002,,202.07057570000006,202.0846921000002,203.08475480000016,203.08475480000016,203.08475480000016,203.386798,space,0.2878443000004154,None,203.38801869999998,203.80193536666664,204.1357923999999,204.10297280000032,204.1037283999999,204.1357923999999,204.1357923999999,204.1357923999999,207.20700890000035,485,1,[3.0701789999998255],[3.0701930999998694],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,400,unexp,28,4,2,space,1.2333078999999998,None,634,1,[1.9970545000001039],[1.9970687999998518],2,4,28,2,207.21854060000032,,207.20725410000023,207.21854060000032,208.2183127000003,208.2183127000003,208.2183127000003,209.45435799999996,space,1.2333078999999998,None,209.45554850000008,210.16841016666675,210.50492179999992,210.47286770000028,210.47360430000026,210.50492179999992,210.50492179999992,210.50492179999992,212.5028972,634,1,[1.9970545000001039],[1.9970687999998518],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,29,5,2,space,0.9514674000001833,None,234,1,[1.74775499999987],[1.7477688999997554],2,5,29,6,212.5182689000003,,212.50320890000012,212.5182689000003,213.51860430000033,213.51860430000033,213.51860430000033,214.48787390000007,space,0.9514674000001833,None,214.48983369999996,214.60196506666696,214.93827020000026,214.90303220000033,214.90378660000033,214.93827020000026,214.93827020000026,214.93827020000026,216.68704190000017,234,1,[1.74775499999987],[1.7477688999997554],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,30,6,2,space,1.0201692999999068,None,786,1,[3.1012809999997444],[3.1012919999998303],2,6,30,5,216.70159790000025,,216.68735000000015,216.70159790000025,217.7020923,217.7020923,217.7020923,218.7374565,space,1.0201692999999068,None,218.73874190000015,219.45208746666665,219.7866825000001,219.75320340000007,219.75394559999995,219.7866825000001,219.7866825000001,219.7866825000001,222.8888347000002,786,1,[3.1012809999997444],[3.1012919999998303],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,31,7,2,space,1.4961865999998736,None,989,1,[4.101056900000003],[4.101070499999878],2,7,31,9,222.90195549999999,,222.88911700000017,222.90195549999999,223.90232770000011,223.90232770000011,223.90232770000011,225.40441620000001,space,1.4961865999998736,None,225.40565480000032,225.51954466666692,225.85307880000028,225.8228764999999,225.82363320000013,225.85307880000028,225.85307880000028,225.85307880000028,229.9552736999999,989,1,[4.101056900000003],[4.101070499999878],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,32,8,2,space,0.9124352999997427,None,096,1,[4.3926753000000645],[4.392702600000121],2,8,32,10,229.9689556000003,,229.95555140000033,229.9689556000003,230.9691017,230.9691017,230.9691017,231.88698780000004,space,0.9124352999997427,None,231.88788870000008,232.30236356666663,232.63596989999996,232.60280650000004,232.60355070000014,232.63596989999996,232.63596989999996,232.63596989999996,237.03020240000023,096,1,[4.3926753000000645],[4.392702600000121],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,33,9,2,space,1.0063355000002048,None,740,1,[6.0132886999999755],[6.013308999999936],2,9,33,8,237.04490440000018,,237.03091760000007,237.04490440000018,238.04528470000014,238.04528470000014,238.04528470000014,239.06357470000012,space,1.0063355000002048,None,239.06484580000006,239.76970036666697,240.1074521999999,240.07301730000017,240.07466650000015,240.1074521999999,240.1074521999999,240.1074521999999,246.12169110000013,740,1,[6.0132886999999755],[6.013308999999936],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,34,10,2,space,0.5381344000002173,None,,1,[0.4340664999999717],[0.43408729999964635],2,10,34,4,246.1362892000002,,246.12206540000034,246.1362892000002,247.13671870000007,247.13671870000007,247.13671870000007,247.6890988,space,0.5381344000002173,None,247.69041240000024,248.10340386666692,248.43669810000029,248.4031216000003,248.4040086,248.43669810000029,248.43669810000029,248.43669810000029,248.87212990000035,,1,[0.4340664999999717],[0.43408729999964635],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,35,11,2,space,3.0943168999997397,None,600,1,[2.4853805000002467],[2.4854012999999213],2,11,35,3,248.88673500000004,,248.87263520000033,248.88673500000004,249.8869181,249.8869181,249.8869181,252.99756019999995,space,3.0943168999997397,None,252.99883660000023,253.1035963666666,253.4442951000001,253.4030657000003,253.4040742000002,253.4442951000001,253.4442951000001,253.4442951000001,255.93105120000018,600,1,[2.4853805000002467],[2.4854012999999213],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,36,0,3,space,1.2675266999999621,None,456,1,[2.510295600000063],[2.5103116000000227],3,0,36,8,255.9457342999999,,255.93156050000016,255.9457342999999,256.9457626000003,256.9457626000003,256.9457626000003,258.23908789999996,space,1.2675266999999621,None,258.2403282,258.953837466667,259.28714070000024,259.2528381000002,259.2538311000003,259.28714070000024,259.28714070000024,259.28714070000024,261.7983641999999,456,1,[2.510295600000063],[2.5103116000000227],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,37,1,3,space,1.3486291999997775,None,345,1,[3.1578667000003406],[3.1578911000001426],3,1,37,3,261.81240879999996,,261.79864160000034,261.81240879999996,262.81271110000034,262.81271110000034,262.81271110000034,264.16526840000006,space,1.3486291999997775,None,264.1665819,264.2707928666666,264.60475780000024,264.5727879000001,264.57354669999995,264.60475780000024,264.60475780000024,264.60475780000024,267.7639670000003,345,1,[3.1578667000003406],[3.1578911000001426],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,38,2,3,space,1.0369390999999268,None,264,1,[2.8925306000001],[2.8925523000002613],3,2,38,10,267.7795438000003,,267.76445460000014,267.7795438000003,268.7794719000003,268.7794719000003,268.7794719000003,269.83112329999994,space,1.0369390999999268,None,269.8322662999999,270.2459359666666,270.57204219999994,270.5425034,270.5431771000003,270.57204219999994,270.57204219999994,270.57204219999994,273.4658902000001,264,1,[2.8925306000001],[2.8925523000002613],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,39,3,3,space,2.831916800000272,None,209,1,[2.4062097999999423],[2.406224800000018],3,3,39,7,273.4798221000001,,273.4663952000001,273.4798221000001,274.4798581,274.4798581,274.4798581,277.31580350000013,space,2.831916800000272,None,277.31749690000015,277.72141336666687,278.0544841000001,278.02266869999994,278.0233989000003,278.0544841000001,278.0544841000001,278.0544841000001,280.4616550999999,209,1,[2.4062097999999423],[2.406224800000018],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,40,4,3,space,0.5410443999999188,None,869,1,[2.9482114000002184],[2.948226599999998],3,4,40,5,280.47990400000026,,280.4619809999999,280.47990400000026,281.4636889000003,281.4636889000003,281.48021610000023,282.0154299999999,space,0.5410443999999188,None,282.01667180000004,282.72154066666667,283.0567200999999,283.02268700000013,283.02344270000003,283.0567200999999,283.0567200999999,283.0567200999999,286.00585309999997,869,1,[2.9482114000002184],[2.948226599999998],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,41,5,3,space,0.675289000000248,None,456,1,[3.2187042999998994],[3.2187321999999767],3,5,41,11,286.02141389999997,,286.00622440000006,286.02141389999997,287.00511099999994,287.00511099999994,287.0214917000003,287.69053239999994,space,0.675289000000248,None,287.6917692000002,288.40516646666697,288.7384890000003,288.70267379999996,288.7034123000003,288.7384890000003,288.7384890000003,288.7384890000003,291.95861809999997,456,1,[3.2187042999998994],[3.2187321999999767],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,400,unexp,42,6,3,space,0.42184850000012375,None,345,1,[3.951794499999778],[3.951818600000024],3,6,42,1,291.97174350000023,,291.9593509000001,291.97174350000023,292.97209980000025,292.97209980000025,292.97209980000025,293.40780889999996,space,0.42184850000012375,None,293.40906399999994,293.82218146666696,294.1554920000003,294.12278160000005,294.1235134000003,294.1554920000003,294.1554920000003,294.1554920000003,298.1085929999999,345,1,[3.951794499999778],[3.951818600000024],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,43,7,3,space,0.9820205999999416,None,980,1,[2.7266309999999976],[2.7266530000001694],3,7,43,4,298.1222031000002,,298.10908169999993,298.1222031000002,299.12231120000024,299.12231120000024,299.12231120000024,300.1080544000001,space,0.9820205999999416,None,300.10930080000026,300.5224466666666,300.8557128000002,300.82280930000024,300.82375090000005,300.8557128000002,300.8557128000002,300.8557128000002,303.5836314000003,980,1,[2.7266309999999976],[2.7266530000001694],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,400,unexp,44,8,3,space,1.2336804000001393,None,647,1,[2.4273708999999144],[2.4273920999999063],3,8,44,2,303.59783319999997,,303.5841206,303.59783319999997,304.5977190000003,304.5977190000003,304.5977190000003,305.8331013000002,space,1.2336804000001393,None,305.8339301000001,306.54769776666694,306.8723986,306.84256410000035,306.8432664000002,306.8723986,306.8723986,306.8723986,309.30101760000025,647,1,[2.4273708999999144],[2.4273920999999063],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,45,9,3,space,2.4316988000000492,None,356,1,[3.7257873999997173],[3.7258082999996986],3,9,45,9,309.3147108000003,,309.3015832000001,309.3147108000003,310.3146386000003,310.3146386000003,310.3146386000003,312.75027950000003,space,2.4316988000000492,None,312.75154680000014,312.8564893666669,313.18954299999996,313.1526613000001,313.1533843000002,313.18954299999996,313.18954299999996,313.18954299999996,316.91663900000003,356,1,[3.7257873999997173],[3.7258082999996986],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,400,unexp,46,10,3,space,1.098066000000017,None,234,1,[3.1330587000002197],[3.1330793000001904],3,10,46,0,316.9317481000003,,316.9171338000001,316.9317481000003,317.9318053000002,317.9318053000002,317.9318053000002,319.03378139999995,space,1.098066000000017,None,319.0349876,319.1398015666666,319.4739906,319.44267579999996,319.44340980000015,319.4739906,319.4739906,319.4739906,322.6083275000001,234,1,[3.1330587000002197],[3.1330793000001904],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,47,11,3,space,1.5306540000001405,None,234,1,[2.5007963000002746],[2.50080620000017],3,11,47,6,322.62325950000013,,322.6088142000003,322.62325950000013,323.6232921999999,323.6232921999999,323.6232921999999,325.1590845999999,space,1.5306540000001405,None,325.16032440000026,325.2734572666666,325.60672030000023,325.57282970000006,325.5737987000002,325.60672030000023,325.60672030000023,325.60672030000023,328.10825049999994,234,1,[2.5007963000002746],[2.50080620000017],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,48,0,4,space,1.1643668000001526,None,487,1,[4.018742400000065],[4.0187612000004265],4,0,48,10,328.1232906,,328.1085349,328.1232906,329.12368890000016,329.12368890000016,329.12368890000016,330.2926873000001,space,1.1643668000001526,None,330.29414270000007,330.70715986666687,331.0404245,331.0029056000003,331.0036285000001,331.0404245,331.0404245,331.0404245,335.06052480000017,487,1,[4.018742400000065],[4.0187612000004265],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,400,unexp,49,1,4,space,1.194005500000003,None,563,1,[2.542511000000104],[2.5425328000001173],4,1,49,2,335.073852,,335.06102379999993,335.073852,336.07393930000035,336.07393930000035,336.07393930000035,337.2761094000002,space,1.194005500000003,None,337.2772950000003,337.9907440666668,338.32388579999997,338.29260490000024,338.29336200000034,338.32388579999997,338.32388579999997,338.32388579999997,340.86767280000004,563,1,[2.542511000000104],[2.5425328000001173],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,50,2,4,space,3.333950300000197,None,395,1,[2.8864880000000994],[2.8865075000003344],4,2,50,6,340.8825310000002,,340.86816050000016,340.8825310000002,341.8828576000001,341.8828576000001,341.8828576000001,345.2339873000001,space,3.333950300000197,None,345.2347613000002,345.3492732666666,345.67491259999997,345.6525723,345.6531302000003,345.67491259999997,345.67491259999997,345.67491259999997,348.5624186,395,1,[2.8864880000000994],[2.8865075000003344],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,51,3,4,space,1.1505457999996906,None,204,1,[5.559657199999947],[5.5596771000000444],4,3,51,11,348.5741548000001,,348.5628219,348.5741548000001,349.57446819999996,349.57446819999996,349.57446819999996,350.7271847000002,space,1.1505457999996906,None,350.72839410000006,351.44119836666664,351.7745881999999,351.7428156000001,351.7435496000003,351.7745881999999,351.7745881999999,351.7745881999999,357.3356630000003,204,1,[5.559657199999947],[5.5596771000000444],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,52,4,4,space,2.238550099999884,None,372,1,[2.9878035000001546],[2.9878287999999884],4,4,52,7,357.35018489999993,,357.33614149999994,357.35018489999993,358.3505126,358.3505126,358.3505126,360.6023617999999,space,2.238550099999884,None,360.6036383999999,361.0083341666666,361.3436165000003,361.3125226000002,361.3132617000001,361.3436165000003,361.3436165000003,361.3436165000003,364.33276920000026,372,1,[2.9878035000001546],[2.9878287999999884],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,53,5,4,space,0.5626409999999851,None,409,1,[3.251278199999888],[3.2512973999996575],4,5,53,3,364.35052050000013,,364.3332565999999,364.35052050000013,365.3340339000001,365.3340339000001,365.35056729999997,365.90298600000006,space,0.5626409999999851,None,365.9042254000001,366.00856866666686,366.3436550000001,366.3125817,366.31332169999996,366.3436550000001,366.3436550000001,366.3436550000001,369.5963334000003,409,1,[3.251278199999888],[3.2512973999996575],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,400,unexp,54,6,4,space,0.21304940000027273,None,345,1,[3.8605781999999635],[3.860597300000336],4,6,54,0,369.60866030000034,,369.59682969999994,369.60866030000034,370.6088408999999,370.6088408999999,370.6088408999999,370.82781490000025,space,0.21304940000027273,None,370.8290231000001,370.9421047666667,371.2818646999999,371.2427743000003,371.2438368000003,371.2818646999999,371.2818646999999,371.2818646999999,375.1432797000002,345,1,[3.8605781999999635],[3.860597300000336],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,55,7,4,space,0.7085108999999647,None,150,1,[3.3448916999996072],[3.3449149999996735],4,7,55,4,375.15861680000035,,375.1437095000001,375.15861680000035,376.15885230000004,376.15885230000004,376.15885230000004,376.8773016,space,0.7085108999999647,None,376.87792360000003,377.29246646666684,377.63170160000027,377.59269029999996,377.5937990000002,377.63170160000027,377.63170160000027,377.63170160000027,380.9779655000002,150,1,[3.3448916999996072],[3.3449149999996735],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
