thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
19,0,19,up,1,0.65144029998919,None,0,19,0,19,0,36.268385600007605,,36.25668120000046,36.268385600007605,37.268599200004246,37.268599200004246,37.92312009999296,up,1,0.65144029998919,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
20,0,20,down,0,1.0802349000005051,None,0,20,0,20,0,37.935140699963085,,37.923389000003226,37.935140699963085,38.9353196999873,38.9353196999873,40.02286119997734,down,0,1.0802349000005051,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
21,0,21,down,1,0.7527489999774843,None,4,21,0,21,0,40.035385600000154,,40.02315219998127,40.035385600000154,41.03541949996725,41.03541949996725,41.79000549996272,down,1,0.7527489999774843,None,4,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
22,0,22,down,0,1.4573502999846824,None,0,22,0,22,0,41.8019687999622,,41.79029089998221,41.8019687999622,42.80216169997584,42.80216169997584,44.27304159995401,down,0,1.4573502999846824,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
23,0,23,up,1,0.8802866999758407,None,0,23,0,23,0,44.28541989997029,,44.27330489997985,44.28541989997029,45.28557780000847,45.28557780000847,46.17314099997748,up,1,0.8802866999758407,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
24,0,24,up,1,0.7496162999887019,None,0,24,0,24,0,46.18549579998944,,46.17341990000568,46.18549579998944,47.18566109996755,47.18566109996755,47.93835059995763,up,1,0.7496162999887019,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
25,0,25,up,1,1.3822671999805607,None,0,25,0,25,0,47.952076599991415,,47.93857900000876,47.952076599991415,48.95240489998832,48.95240489998832,50.3401052999543,up,1,1.3822671999805607,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
26,0,26,down,0,0.7097659999853931,None,0,26,0,26,0,50.35236469999654,,50.34037259995239,50.35236469999654,51.35242069995729,51.35242069995729,52.07371749996673,down,0,0.7097659999853931,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
27,0,27,down,1,1.0107730000163428,None,-5,27,0,27,0,52.08575839997502,,52.07400999998208,52.08575839997502,53.08597859996371,53.08597859996371,54.10700269998051,down,1,1.0107730000163428,None,-5,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
28,0,28,up,1,0.9219867000356317,None,0,28,0,28,0,54.11901649995707,,54.10725979995914,54.11901649995707,55.11932489997707,55.11932489997707,56.056919700000435,up,1,0.9219867000356317,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
29,0,29,up,1,0.8374583999975584,None,0,29,0,29,0,56.069289699953515,,56.05718479998177,56.069289699953515,57.06941429997096,57.06941429997096,57.92369919997873,up,1,0.8374583999975584,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
30,0,30,up,0,0.7511832999880426,None,2,30,0,30,0,57.93578209995758,,57.92396949999966,57.93578209995758,58.93608630000381,58.93608630000381,59.69078159995843,up,0,0.7511832999880426,None,2,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
31,0,31,up,0,1.0015535000129603,None,4,31,0,31,0,59.7025086999638,,59.6910610999912,59.7025086999638,60.70295679999981,60.70295679999981,61.707510599982925,up,0,1.0015535000129603,None,4,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
32,0,32,down,0,0.5828020000481047,None,0,32,0,32,0,61.71949509996921,,61.70778040000005,61.71949509996921,62.71974029997364,62.71974029997364,63.31006619997788,down,0,0.5828020000481047,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
33,0,33,down,1,1.0523490000050515,None,-3,33,0,33,0,63.3194679999724,,63.3103667999967,63.3194679999724,64.31977080000797,64.31977080000797,65.37417229998391,down,1,1.0523490000050515,None,-3,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
