pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,78,2,19,c,1,0.348727599997801,None,19,2,78,2,,,,,191.49894629999835,,191.48445229999925,191.49894629999835,192.49898389999726,192.49898389999726,192.49898389999726,192.49898389999726,192.49898389999726,193.4991259999988,193.4991259999988,193.85156350000034,c,1,0.348727599997801,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,79,3,19,z,1,0.2860575999984576,None,19,3,79,3,,,,,193.86575319999974,,193.85224620000008,193.86575319999974,194.8657428999977,194.8657428999977,194.8657428999977,194.8657428999977,194.8657428999977,195.86579039999924,195.86579039999924,196.16685879999932,z,1,0.2860575999984576,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,80,0,20,x,1,0.3181019000003289,None,20,0,80,0,,,,,196.18246340000042,,196.16721809999945,196.18246340000042,197.1826403999985,197.1826403999985,197.1826403999985,197.1826403999985,197.1826403999985,198.18255179999687,198.18255179999687,198.51745680000022,x,1,0.3181019000003289,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,81,1,20,v,1,0.4357858000003034,None,20,1,81,1,,,,,198.53258319999804,,198.51810959999784,198.53258319999804,199.53286739999749,199.53286739999749,199.53286739999749,199.53286739999749,199.53286739999749,200.5328845999975,200.5328845999975,200.98434160000033,v,1,0.4357858000003034,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,82,2,20,c,1,0.47327360000053886,None,20,2,82,2,,,,,200.99935529999857,,200.98500280000007,200.99935529999857,201.99964419999742,201.99964419999742,201.99964419999742,201.99964419999742,201.99964419999742,202.99951569999757,202.99951569999757,203.4846918000003,c,1,0.47327360000053886,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,83,3,20,z,1,0.49782279999999446,None,20,3,83,3,,,,,203.49962169999708,,203.48542839999936,203.49962169999708,204.4996661999976,204.4996661999976,204.4996661999976,204.4996661999976,204.4996661999976,205.49967219999962,205.49967219999962,206.00129869999728,z,1,0.49782279999999446,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,84,0,21,x,1,0.5693730000020878,None,21,0,84,0,,,,,206.0162418,,206.0019661999977,206.0162418,207.01628699999856,207.01628699999856,207.01628699999856,207.01628699999856,207.01628699999856,208.01638559999992,208.01638559999992,208.60141809999914,x,1,0.5693730000020878,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,85,1,21,v,1,0.746151600000303,None,21,1,85,1,,,,,208.61659299999883,,208.60213490000024,208.61659299999883,209.61640909999915,209.61640909999915,209.61640909999915,209.61640909999915,209.61640909999915,210.61654160000035,210.61654160000035,211.36831339999844,v,1,0.746151600000303,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,86,2,21,c,1,0.7701319000007061,None,21,2,86,2,,,,,211.3830973999975,,211.36895430000004,211.3830973999975,212.38326219999726,212.38326219999726,212.38326219999726,212.38326219999726,212.38326219999726,213.38344639999923,213.38344639999923,214.1686273999985,c,1,0.7701319000007061,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,87,3,21,z,1,0.4388738999987254,None,21,3,87,3,,,,,214.1834123999979,,214.16942859999835,214.1834123999979,215.1835194999985,215.1835194999985,215.1835194999985,215.1835194999985,215.1835194999985,216.18348989999868,216.18348989999868,216.6354427999977,z,1,0.4388738999987254,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,88,0,22,x,1,0.5401926000013191,None,22,0,88,0,,,,,216.65009889999783,,216.63608389999717,216.65009889999783,217.65006439999706,217.65006439999706,217.65006439999706,217.65006439999706,217.65006439999706,218.65014549999978,218.65014549999978,219.2021681999977,x,1,0.5401926000013191,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,89,1,22,v,1,0.6696563000004971,None,22,1,89,1,,,,,219.21683539999867,,219.20287370000005,219.21683539999867,220.21704529999988,220.21704529999988,220.21704529999988,220.21704529999988,220.21704529999988,221.2169815999987,221.2169815999987,221.90198299999975,v,1,0.6696563000004971,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,90,2,22,c,1,0.35819439999977476,None,22,2,90,2,,,,,221.91690409999865,,221.90264000000025,221.91690409999865,222.91697099999874,222.91697099999874,222.91697099999874,222.91697099999874,222.91697099999874,223.91705159999765,223.91705159999765,224.28549719999864,c,1,0.35819439999977476,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
