thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixtion.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
18,0,18,[0.10833333333333334],[0.11333333333333333],[1],[0],[0],[1.7662409000001844],['target'],18,0,18,0,54.03802219999989,,5,54.026905499999884,54.03802219999989,54.03802219999989,0.01562210000020059,55.79361670000003,[0.10833333333333334],[0.11333333333333333],[1],[0],[0],[1.7662409000001844],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
19,0,19,[-0.2866666666666667],[0.36833333333333335],[1],[0],[0],[1.7373826999998983],['target'],19,0,19,0,55.836817899999915,,10,55.822072299999945,55.836817899999915,55.836817899999915,0.028271299999914845,57.559889800000064,[-0.2866666666666667],[0.36833333333333335],[1],[0],[0],[1.7373826999998983],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
20,0,20,[0.23333333333333334],[-0.35],[1],[0],[0],[2.0700762000001305],['target'],20,0,20,0,57.587545299999874,,5,57.573380799999995,57.587545299999874,57.587545299999874,0.013304599999855782,59.64396779999993,[0.23333333333333334],[-0.35],[1],[0],[0],[2.0700762000001305],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
21,0,21,[0.215],[0.4716666666666667],[1],[0],[0],[1.5352927999999793],['target'],21,0,21,0,59.69640780000009,,10,59.67458910000005,59.69640780000009,59.69640780000009,0.030359999999973297,61.21028810000007,[0.215],[0.4716666666666667],[1],[0],[0],[1.5352927999999793],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
22,0,22,[0.3233333333333333],[0.058333333333333334],[1],[0],[0],[1.5515508999999383],['target'],22,0,22,0,61.237754100000075,,5,61.22619089999989,61.237754100000075,61.237754100000075,0.015691099999912694,62.7781579,[0.3233333333333333],[0.058333333333333334],[1],[0],[0],[1.5515508999999383],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
23,0,23,[-0.27166666666666667],[0.4533333333333333],[1],[0],[0],[1.7260074999999233],['target'],23,0,23,0,62.81484580000006,,5,62.80071290000001,62.81484580000006,62.81484580000006,0.022374799999852257,64.52716669999995,[-0.27166666666666667],[0.4533333333333333],[1],[0],[0],[1.7260074999999233],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
24,0,24,[-0.425],[0.3516666666666667],[1],[0],[0],[1.6670151999999234],['target'],24,0,24,0,64.5545368999999,,5,64.54319549999991,64.5545368999999,64.5545368999999,0.01583630000004632,66.21065500000009,[-0.425],[0.3516666666666667],[1],[0],[0],[1.6670151999999234],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
25,0,25,[-0.49166666666666664],[0.24833333333333332],[1],[0],[0],[1.4023136999999224],['target'],25,0,25,0,66.23792320000007,,5,66.22458030000007,66.23792320000007,66.23792320000007,0.013789399999950547,67.62729749999994,[-0.49166666666666664],[0.24833333333333332],[1],[0],[0],[1.4023136999999224],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
26,0,26,[-0.23333333333333334],[0.42833333333333334],[1],[0],[0],[1.7540807999998833],['target'],26,0,26,0,67.65464750000001,,5,67.64052700000002,67.65464750000001,67.65464750000001,0.013093700000126773,69.39507679999997,[-0.23333333333333334],[0.42833333333333334],[1],[0],[0],[1.7540807999998833],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
27,0,27,[-0.205],[0.31833333333333336],[1],[0],[0],[1.2858780999999908],['target'],27,0,27,0,69.43874129999995,,10,69.42383429999995,69.43874129999995,69.43874129999995,0.02859289999992143,70.7101447,[-0.205],[0.31833333333333336],[1],[0],[0],[1.2858780999999908],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
28,0,28,[-0.36833333333333335],[0.43833333333333335],[1],[0],[0],[1.4871189000000413],['target'],28,0,28,0,70.73809950000009,,5,70.72351230000004,70.73809950000009,70.73809950000009,0.013178000000152679,72.21107370000004,[-0.36833333333333335],[0.43833333333333335],[1],[0],[0],[1.4871189000000413],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
29,0,29,[0.36666666666666664],[-0.2683333333333333],[1],[0],[0],[2.134141299999783],['target'],29,0,29,0,72.23858560000008,,5,72.22689549999996,72.23858560000008,72.23858560000008,0.01563399999986359,74.36148019999996,[0.36666666666666664],[-0.2683333333333333],[1],[0],[0],[2.134141299999783],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
30,0,30,[0.13166666666666665],[-0.155],[1],[0],[0],[1.7554539000000204],['target'],30,0,30,0,74.40319709999994,,10,74.38838209999994,74.40319709999994,74.40319709999994,0.02673329999993257,76.14422139999988,[0.13166666666666665],[-0.155],[1],[0],[0],[1.7554539000000204],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
31,0,31,[0.21166666666666667],[-0.15166666666666667],[1],[0],[0],[1.4867624999999407],[None],31,0,31,0,76.17164810000008,,5,76.15799109999989,76.17164810000008,76.17164810000008,0.013592900000048758,77.64522229999989,[0.21166666666666667],[-0.15166666666666667],[1],[0],[0],[1.4867624999999407],[None],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
32,0,32,[-0.44],[-0.17166666666666666],[1],[0],[0],[2.399970499999881],['target'],32,0,32,0,77.67215710000005,,5,77.66084819999992,77.67215710000005,77.67215710000005,0.01546730000018215,80.0612673999999,[-0.44],[-0.17166666666666666],[1],[0],[0],[2.399970499999881],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
33,0,33,[-0.325],[-0.33],[1],[0],[0],[1.5365027000000282],['target'],33,0,33,0,80.08850209999991,,5,80.07450879999988,80.08850209999991,80.08850209999991,0.013101600000027247,81.61141859999998,[-0.325],[-0.33],[1],[0],[0],[1.5365027000000282],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
34,0,34,[0.365],[0.425],[1],[0],[0],[2.5683681999998953],['target'],34,0,34,0,81.63855050000006,,5,81.62504689999992,81.63855050000006,81.63855050000006,0.013498100000106206,84.19383870000001,[0.365],[0.425],[1],[0],[0],[2.5683681999998953],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
